ID_sequencing,Spatial,Elevation,MAT,TSEA,MAP,PSEA,Plant_cover,Forest,Grassland,Clay_silt,pH,Soil_C,All_potential_pathogens,Alternaria,Fusarium,Venturia,Phoma,Phaeosphaeriaceae,Cladosporium,Coniochaetaceae,Acremonium,Knufia,Chalara,Mycosphaerellaceae,Didymosphaeriaceae,Teratosphaeriaceae,Coniochaeta,Devriesia,Didymellaceae,Pleosporaceae,Clonostachys,Didymosphaeria,Acrophialophora,Xylariaceae,Bipolaris
202.000,34.719,2157.000,16.800,2908.000,345.000,63.000,752.039,0.000,1.000,35.880,8.024,2.201,32.528,10.685,3.425,0.000,1.152,2.727,7.169,0.000,0.030,0.004,0.163,1.721,0.080,0.013,0.008,1.632,0.162,0.238,0.779,0.029,0.008,0.033,0.113
203.000,34.714,1995.000,17.200,3118.000,313.000,56.000,736.110,0.000,0.000,48.398,8.343,1.571,12.912,3.724,1.380,0.000,0.648,1.103,0.854,0.000,0.020,0.130,0.015,0.589,0.162,0.072,0.201,0.058,0.871,0.011,0.071,0.453,0.048,0.024,0.028
204.000,34.745,2396.000,15.400,2587.000,563.000,92.000,1245.640,0.000,1.000,33.815,6.954,1.934,15.931,0.348,1.045,1.184,0.817,0.049,1.424,0.920,0.000,0.000,0.000,0.000,0.007,2.029,0.350,0.005,0.391,1.471,0.160,0.002,0.003,1.700,0.023
205.000,34.867,1337.000,15.300,7036.000,283.000,44.000,676.789,0.000,1.000,12.994,8.446,0.641,24.260,7.658,6.177,0.073,0.119,0.587,0.066,0.002,2.870,0.000,0.000,0.348,0.058,0.216,2.326,2.307,0.000,0.085,0.000,0.000,0.002,0.000,0.000
206.000,34.967,988.000,14.700,5636.000,294.000,47.000,972.783,0.000,1.000,36.965,8.134,2.523,9.876,1.625,2.204,0.000,0.340,0.447,0.245,0.212,1.143,0.029,0.000,0.046,0.067,0.084,0.029,0.109,0.002,0.002,0.061,0.000,0.002,0.132,0.000
207.000,35.008,941.000,14.500,5696.000,321.000,50.000,1020.140,0.000,1.000,43.569,8.154,2.518,16.721,6.926,3.674,0.000,0.328,0.902,0.463,0.305,1.143,0.157,0.000,0.028,0.504,0.069,0.005,0.097,0.000,0.000,0.000,0.000,0.000,0.319,0.000
208.000,34.951,781.000,16.000,6055.000,265.000,44.000,635.144,0.000,1.000,43.557,8.326,1.239,17.392,5.411,2.846,0.000,1.834,0.728,0.715,0.026,0.299,0.000,0.000,0.358,0.008,0.123,0.026,2.210,0.000,0.036,0.064,0.000,0.049,0.000,0.141
209.000,35.023,863.000,15.500,5941.000,401.000,55.000,469.289,0.000,1.000,77.602,8.214,1.123,13.342,0.686,5.517,0.000,0.319,0.108,0.282,0.019,0.211,0.000,0.000,0.000,0.063,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000
210.000,35.001,1143.000,13.900,6048.000,377.000,48.000,796.783,0.000,1.000,41.576,8.310,2.380,27.255,9.541,6.505,0.000,2.647,1.559,0.571,0.099,1.439,0.000,0.000,0.064,0.227,0.066,0.035,0.538,0.000,0.019,0.000,0.000,0.000,0.072,0.000
211.000,34.954,731.000,16.300,6233.000,289.000,46.000,639.603,0.000,1.000,22.138,8.046,0.874,27.805,4.871,6.407,0.000,0.841,0.337,0.282,0.025,6.533,0.002,0.000,0.078,0.000,0.192,0.295,2.235,0.019,0.000,0.000,0.000,0.002,0.000,0.027
212.000,34.865,1426.000,14.600,6971.000,310.000,46.000,676.789,0.000,1.000,62.519,8.460,0.831,23.341,12.931,4.204,0.000,0.151,1.002,0.014,0.000,0.823,0.000,0.000,0.000,0.473,0.070,0.372,0.362,0.000,0.006,0.000,0.000,0.000,0.000,0.002
213.000,35.038,983.000,14.700,5661.000,385.000,54.000,736.839,0.000,1.000,47.864,7.992,2.995,31.654,10.179,8.322,0.000,2.823,2.441,0.336,0.049,0.285,1.577,0.144,0.003,0.162,0.028,0.038,0.456,0.059,0.059,0.000,0.021,0.277,0.015,0.641
